Num dataset, Bubble sort, Select sort, Insert sort, Heap sort, Shell sort, Radix sort, Quick sort, Merge sort
1024,0.008063,0.0041,0.002344,0.030091,0.000777,0.000435,0.000173,0.001109
1025,0.004251,0.00191,0.001631,0.037863,0.000808,0.000454,0.000161,0.001065
1026,0.005006,0.003407,0.001515,0.022546,0.000502,0.000289,0.000106,0.000715
1027,0.007604,0.00298,0.001749,0.030035,0.000782,0.000479,0.00014,0.000968
1028,0.004182,0.001954,0.001171,0.0322,0.000747,0.00044,0.00016,0.001113
1029,0.006219,0.002309,0.001132,0.029529,0.000797,0.000455,0.000163,0.001058
1030,0.004996,0.001977,0.001155,0.027342,0.000638,0.000369,0.000134,0.000948
1031,0.00529,0.001955,0.001194,0.031492,0.0008,0.000437,0.000165,0.001168
1032,0.008583,0.003774,0.001774,0.031549,0.000774,0.00044,0.000165,0.000976
1033,0.005913,0.002302,0.00117,0.031041,0.000768,0.000438,0.00016,0.001112
1034,0.005162,0.002904,0.0014,0.03137,0.000787,0.000441,0.000159,0.001069
1035,0.005907,0.002046,0.001191,0.029523,0.000777,0.000446,0.000168,0.001097
1036,0.004281,0.001956,0.001157,0.022841,0.000354,0.000206,0.000074,0.000666
1037,0.007923,0.0042,0.00234,0.029981,0.000404,0.00024,0.000087,0.00066
1038,0.007471,0.002443,0.001351,0.031532,0.000645,0.000387,0.000137,0.000958
1039,0.007733,0.004175,0.002145,0.016125,0.000763,0.000259,0.000097,0.000677
1040,0.004326,0.001981,0.001198,0.034811,0.000783,0.000465,0.000168,0.001138
1041,0.007427,0.004186,0.00249,0.034051,0.000763,0.000441,0.000158,0.001091
1042,0.004324,0.001997,0.001149,0.02687,0.000374,0.00022,0.000082,0.000539
1043,0.00866,0.004251,0.00207,0.033008,0.000802,0.00044,0.00014,0.000966
1044,0.007786,0.004218,0.002413,0.032546,0.000763,0.000482,0.00016,0.00094
1045,0.007799,0.004083,0.001816,0.030067,0.000786,0.000449,0.000164,0.001114
1046,0.004376,0.001992,0.001209,0.034787,0.000812,0.000468,0.000168,0.001121
1047,0.008167,0.003967,0.00186,0.032468,0.000809,0.000467,0.000142,0.000983
1048,0.007956,0.004241,0.00183,0.031197,0.000728,0.000399,0.000141,0.000948
1049,0.006536,0.004273,0.002467,0.034958,0.000773,0.000489,0.000163,0.000967
1050,0.006789,0.003024,0.001465,0.027791,0.000688,0.000428,0.000143,0.000975
1051,0.0089,0.004266,0.001808,0.030937,0.000751,0.000431,0.000142,0.000976
1052,0.008092,0.003118,0.001822,0.030114,0.000651,0.0004,0.000163,0.000966
1053,0.005335,0.004319,0.002462,0.036272,0.000783,0.000464,0.00017,0.001119
1054,0.008368,0.004325,0.002574,0.032569,0.000819,0.000496,0.000165,0.001028
